Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0603,2,10p,
C10,0603,1,10n,
"C11, C13, C14, C15, C16, C18, C26, C3, C30, C41, C7, C8, C9",0603,13,100n,
"C12, C17, C29, C39",0603,4,1u,
"C19, C20, C22, C23, C24, C27, C28",0603,7,1n,
"C2, C4",0603,2,15p,
C21,0603,1,470n,
"C25, C40",0603,2,10u,
"C31, C36, C37, C38",1206,4,100n,
"C32, C33, C34",1206,3,2u2,
"C35, C43, C45, C46",CP_Radial_D10.0mm_P5.00mm,4,47u,
"C42, C44",0603,2,22u,
C6,0603,1,4n7,
"D1-D3, D2, D3",0805,3,LED,
"D10, D11, D12, D13, D9",D_SOD-123,5,18V,
"D5, D6, D7, D8",SOT-23,4,BAT54S,
F1,1812,1,Polyfuse_Small,
FB1,0603,1,120,
"J1, J2",PinHeader_1x09_P2.54mm_Vertical,2,Conn_01x09,
J3,3POS_3.5_TH,1,Conn_Motor,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_16P,
J5,DB301V-3.5-2P-GN-S,1,Conn_VDC,
KELVINPOINT1,NetTie-2_SMD_Pad2.0mm,1,0,
L1,L_Changjiang_FXL0530,1,4u7,
Q1,SOT-23,1,AO3401A,
"R1, R2, R3, R35, R37, R39, R45, R46, R47",0603,9,5k1,
R10,1206,1,2M,
"R11-13, R12, R14-R16, R15, R17, R18-20, R20-R22, R21",1206,8,750k,
"R13, R16, R19, R22",1206,4,5k1,
"R23, R24, R25, R26, R29, R43, ←R30-R29",0603,7,100,
"R27, R28, R4-R6, R41, R5, R6",0603,6,1k,
"R31, R32, R33",1206,3,50m,
"R34, R36, R38, R42",0603,4,91k,
R40,0201,1,0,
R44,0603,1,11k,
"R8, R9",0603,2,22,
"SW1, SW2",SW_SPST_TL3342,2,SW_Push,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G474CBT6,
U2,NDIP-26_12P55X29P25_STM,1,STGIPN3H60T-H,
U3,SOIC-14_3.9x8.7mm_P1.27mm,1,TLV9064,
U4,WQFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,1,HUSB238A-BB001-QN16R,
U5,TSOT-23-6,1,AP63203WU,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz 10pF,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.7kHz 12.5uF,
