Designator,Mid X,Mid Y,Rotation,Layer
C1,118.25,-91.5,180.0,top
C10,141.75,-86.0,180.0,bottom
C11,129.5,-86.5,270.0,bottom
C12,141.75,-87.5,180.0,bottom
C13,131.0,-86.5,270.0,bottom
C14,147.0,-83.75,0.0,bottom
C15,147.0,-90.75,0.0,bottom
C16,132.5,-86.5,270.0,bottom
C17,151.25,-98.25,270.0,top
C18,130.25,-89.0,180.0,bottom
C19,117.25,-72.75,90.0,bottom
C2,110.0,-92.75,270.0,top
C20,122.54,-72.75,90.0,bottom
C21,146.5,-74.69,180.0,bottom
C22,137.5,-74.0,270.0,bottom
C23,142.56,-74.0,270.0,bottom
C24,120.25,-84.0,270.0,top
C25,111.1,-99.0,0.0,bottom
C26,111.1,-100.5,0.0,bottom
C27,118.5,-69.5,0.0,bottom
C28,122.0,-69.5,180.0,bottom
C29,119.5,-82.5,270.0,bottom
C3,140.0,-102.0,180.0,bottom
C30,121.25,-82.5,270.0,bottom
C31,112.75,-62.5,90.0,bottom
C32,113.5,-53.825,270.0,bottom
C33,127.675,-53.245,270.0,bottom
C34,147.25,-54.25,270.0,bottom
C35,150.25,-73.132323,270.0,top
C36,116.0,-53.825,270.0,bottom
C37,130.25,-53.25,270.0,bottom
C38,144.75,-54.25,270.0,bottom
C39,112.5,-96.5,180.0,top
C4,114.0,-92.75,90.0,top
C40,147.5,-94.75,180.0,top
C41,147.0,-92.25,90.0,top
C42,147.75,-84.25,0.0,top
C43,150.25,-62.5,90.0,top
C44,147.75,-85.75,0.0,top
C45,109.75,-62.617677,90.0,top
C46,109.75,-73.132323,270.0,top
C5,118.25,-98.0,0.0,top
C6,104.25,-74.25,0.0,bottom
C7,147.0,-87.25,0.0,bottom
C8,147.0,-80.25,0.0,bottom
C9,128.0,-86.5,270.0,bottom
D1-D3,116.75,-82.5,0.0,top
D10,111.0,-53.75,90.0,bottom
D11,131.25,-59.0,270.0,bottom
D12,149.75,-54.25,90.0,bottom
D13,115.75,-101.5,270.0,top
D2,116.75,-84.5,0.0,top
D3,116.75,-86.5,0.0,top
D5,149.75,-85.75,180.0,bottom
D6,149.75,-78.75,180.0,bottom
D7,149.75,-82.25,180.0,bottom
D8,149.75,-89.25,180.0,bottom
D9,111.25,-102.5,0.0,bottom
F1,112.25,-100.5,270.0,top
FB1,141.75,-84.5,180.0,bottom
H1,105.0,-55.0,0.0,top
H2,155.0,-55.0,0.0,top
H3,155.0,-105.0,0.0,top
H4,105.0,-105.0,0.0,top
J1,154.0,-89.59,180.0,top
J2,106.0,-89.5,180.0,top
J3,141.0,-53.5,180.0,top
J4,130.0,-106.0,0.0,top
J5,122.1,-53.5,0.0,top
KELVINPOINT1,115.25,-82.5,90.0,bottom
L1,143.0,-88.5,180.0,top
Q1,120.75,-102.25,0.0,top
R1,140.0,-99.0,0.0,bottom
R10,104.25,-76.25,180.0,bottom
R11-13,140.75,-66.0,180.0,bottom
R12,140.75,-68.5,0.0,bottom
R13,140.75,-71.0,180.0,bottom
R14-R16,110.75,-80.0,180.0,bottom
R15,110.8,-82.32,0.0,bottom
R16,110.8,-84.75,180.0,bottom
R17,135.75,-66.0,180.0,bottom
R18-20,135.75,-68.5,0.0,bottom
R19,135.75,-71.0,180.0,bottom
R2,140.0,-100.5,180.0,bottom
R20-R22,145.75,-66.0,180.0,bottom
R21,145.75,-68.5,0.0,bottom
R22,145.75,-71.0,180.0,bottom
R23,118.75,-72.75,90.0,bottom
R24,121.04,-72.75,90.0,bottom
R25,136.0,-74.0,90.0,bottom
R26,141.05,-74.0,90.0,bottom
R27,121.75,-84.0,90.0,top
R28,146.5,-76.25,180.0,bottom
R29,118.5,-68.0,180.0,bottom
R3,150.0,-94.25,90.0,top
R31,136.75,-61.5,90.0,bottom
R32,124.0,-59.0,270.0,bottom
R33,116.5,-64.75,90.0,bottom
R34,122.75,-64.75,270.0,bottom
R35,121.25,-64.75,90.0,bottom
R36,127.5,-64.75,270.0,bottom
R37,126.0,-64.75,90.0,bottom
R38,132.25,-64.75,270.0,bottom
R39,130.74,-64.75,90.0,bottom
R4-R6,113.0,-82.5,180.0,top
R40,127.25,-96.0,0.0,top
R41,131.75,-95.75,270.0,bottom
R42,117.75,-102.25,270.0,top
R43,123.75,-102.25,90.0,top
R44,133.75,-98.0,270.0,bottom
R45,119.75,-64.75,270.0,bottom
R46,124.5,-64.75,270.0,bottom
R47,129.25,-64.75,270.0,bottom
R5,113.0,-84.5,180.0,top
R6,113.0,-86.5,180.0,top
R8,123.0,-97.75,270.0,top
R9,124.75,-97.75,270.0,top
SW1,147.0,-100.5,270.0,top
SW2,139.95,-100.5,270.0,top
U1,130.5,-87.25,0.0,top
U2,130.107201,-68.75,0.0,top
U3,128.25,-71.0,0.0,bottom
U4,130.0,-97.5,90.0,top
U5,143.5,-93.5,180.0,top
Y1,118.25,-94.75,180.0,top
Y2,112.0,-92.75,90.0,top
←R30-R29,122.0,-68.01,0.0,bottom
